Fight Type,Method:,Round:,Time:,Time format:,Referee:,Details,Winner,r_figher,b_figher,r_figher_sig_str,b_figher_sig_str,r_figher_sig_str %,b_figher_sig_str %,r_figher_total_str,b_figher_total_str
Catch Weight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Derek Cleary28 - 29.Sal D'amato28 - 29.Tony Weeks28 - 29.,Deron Winn,Deron Winn,Antonio Arroyo,20 of 38,45 of 62,52%,72%,64 of 89,70 of 87
Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Chris Lee26 - 30.Derek Cleary26 - 30.Dave Hagen28 - 29.,Taila Santos,Gillian Robertson,Taila Santos,9 of 14,27 of 37,64%,72%,42 of 48,72 of 85
Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Eric Colon25 - 30.Mike Bell26 - 30.Chris Lee26 - 30.,Tafon Nchukwi,Tafon Nchukwi,Jamie Pickett,120 of 187,40 of 81,64%,49%,159 of 234,40 of 81
Flyweight Bout,Submission,1,3:18,3 Rnd (5-5-5),Jerin Valel,Flying Triangle,Jimmy Flick,Jimmy Flick,Cody Durden,6 of 14,21 of 32,42%,65%,7 of 15,30 of 43
Catch Weight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Sal D'amato26 - 30.Dave Hagen27 - 29.Junichiro Kamijo28 - 29.,Christos Giagos,Christos Giagos,Carlton Minus,31 of 67,28 of 80,46%,35%,76 of 124,29 of 81
UFC Flyweight Title Bout,Decision - Majority,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,Derek Cleary46 - 48.Sal D'amato47 - 47.Junichiro Kamijo47 - 47.,draw,Deiveson Figueiredo,Brandon Moreno,137 of 238,132 of 248,57%,53%,147 of 248,139 of 256
Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell26 - 30.Eric Colon26 - 30.Ron McCarthy26 - 30.,Charles Oliveira,Tony Ferguson,Charles Oliveira,19 of 42,41 of 63,45%,65%,26 of 49,86 of 112
Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Derek Cleary28 - 29.Sal D'amato28 - 29.Junichiro Kamijo28 - 29.,Mackenzie Dern,Mackenzie Dern,Virna Jandiroba,82 of 174,63 of 134,47%,47%,101 of 195,80 of 152
Middleweight Bout,KO/TKO,1,1:45,3 Rnd (5-5-5),Mark Smith,Punch to Head From Bottom,Kevin Holland,Kevin Holland,Jacare Souza,15 of 18,2 of 2,83%,100%,21 of 24,2 of 2
Heavyweight Bout,KO/TKO,2,2:34,3 Rnd (5-5-5),Jerin Valel,Elbow to Head In Clinch,Ciryl Gane,Junior Dos Santos,Ciryl Gane,10 of 35,59 of 80,28%,73%,11 of 36,61 of 82
Featherweight Bout,KO/TKO,2,1:52,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance,Cub Swanson,Cub Swanson,Daniel Pineda,46 of 66,21 of 45,69%,46%,51 of 71,40 of 65
Lightweight Bout,KO/TKO,1,4:05,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance,Rafael Fiziev,Renato Moicano,Rafael Fiziev,15 of 37,21 of 35,40%,60%,15 of 37,21 of 35
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,Dave Hagen27 - 30.Chris Lee27 - 30.Ron McCarthy27 - 30.,Gavin Tucker,Gavin Tucker,Billy Quarantillo,106 of 166,84 of 178,63%,47%,123 of 183,136 of 233
Women's Strawweight Bout,TKO - Doctor's Stoppage,1,5:00,3 Rnd (5-5-5),Jason Herzog,Eye Injury,Tecia Torres,Tecia Torres,Sam Hughes,52 of 103,20 of 53,50%,37%,52 of 103,26 of 59
Featherweight Bout,Submission,3,3:02,3 Rnd (5-5-5),Chris Tognoni,Heel Hook On Ground,Chase Hooper,Chase Hooper,Peter Barrett,57 of 117,48 of 87,48%,55%,81 of 144,61 of 100
Middleweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Derek Cleary46 - 49.Sal D'amato46 - 49.Junichiro Kamijo45 - 49.,Marvin Vettori,Jack Hermansson,Marvin Vettori,122 of 346,164 of 334,35%,49%,139 of 365,202 of 376
Light Heavyweight Bout,KO/TKO,2,3:37,3 Rnd (5-5-5),Jason Herzog,Punches to Head At Distance,Jamahal Hill,Ovince Saint Preux,Jamahal Hill,36 of 72,68 of 128,50%,53%,37 of 73,68 of 128
Lightweight Bout,KO/TKO,1,4:06,3 Rnd (5-5-5),,Knee to Body At Distance,Gabriel Benitez,Gabriel Benitez,Justin Jaynes,38 of 104,22 of 52,36%,42%,38 of 104,22 of 52
Light Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Chris Lee29 - 28.Dave Hagen27 - 30.Mike Bell28 - 29.,Roman Dolidze,Roman Dolidze,John Allan,51 of 109,29 of 86,46%,33%,118 of 205,48 of 117
Lightweight Bout,KO/TKO,1,0:22,3 Rnd (5-5-5),Chris Tognoni,Slam to   In Clinch,Jordan Leavitt,Matt Wiman,Jordan Leavitt,0 of 2,1 of 1,0%,100%,0 of 2,1 of 1
Bantamweight Bout,KO/TKO,2,2:15,3 Rnd (5-5-5),Jason Herzog,Punches to Head From Back Control,Louis Smolka,Louis Smolka,Jose Quinonez,59 of 116,43 of 107,50%,40%,64 of 128,47 of 113
Featherweight Bout,KO/TKO,1,2:38,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance,Ilia Topuria,Ilia Topuria,Damon Jackson,31 of 63,16 of 52,49%,30%,31 of 64,16 of 53
Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Sal D'amato27 - 30.Eric Colon27 - 30.Adalaide Byrd27 - 30.,Jake Collier,Gian Villante,Jake Collier,80 of 197,123 of 272,40%,45%,81 of 198,126 of 277
Light Heavyweight Bout,Submission,1,2:34,5 Rnd (5-5-5-5-5),Herb Dean,Triangle Choke From Bottom Guard,Anthony Smith,Anthony Smith,Devin Clark,1 of 4,1 of 3,25%,33%,4 of 8,27 of 30
Welterweight Bout,Submission,2,4:28,3 Rnd (5-5-5),Dan Miragliotta,Arm Triangle From Side Control,Miguel Baeza,Miguel Baeza,Takashi Sato,40 of 73,15 of 58,54%,25%,43 of 82,15 of 58
Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Eric Colon26 - 30.Anthony Maness27 - 30.Tony Weeks28 - 29.,Parker Porter,Josh Parisian,Parker Porter,114 of 226,126 of 228,50%,55%,123 of 237,164 of 275
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Mike Bell27 - 30.Sal D'amato27 - 30.Tony Weeks27 - 30.,Bill Algeo,Spike Carlyle,Bill Algeo,23 of 53,70 of 95,43%,73%,28 of 65,118 of 150
Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell26 - 30.Derek Cleary26 - 30.Dave Hagen26 - 30.,Norma Dumont,Ashlee Evans-Smith,Norma Dumont,42 of 164,94 of 161,25%,58%,47 of 169,109 of 178
Featherweight Bout,KO/TKO,2,4:28,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head From Back Control,Jonathan Pearce,Jonathan Pearce,Kai Kamaka,51 of 100,47 of 83,51%,56%,113 of 172,48 of 84
Bantamweight Bout,Submission,1,4:35,3 Rnd (5-5-5),Herb Dean,Guillotine Choke From Bottom Guard,Anderson Dos Santos,Martin Day,Anderson Dos Santos,9 of 12,11 of 20,75%,55%,16 of 19,22 of 31
Women's Flyweight Bout,KO/TKO,3,4:10,3 Rnd (5-5-5),Mark Smith,Kick to Body At Distance,Gina Mazany,Gina Mazany,Rachael Ostovich,72 of 162,41 of 95,44%,43%,106 of 216,49 of 106
Flyweight Bout,KO/TKO,1,0:44,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head At Distance,Su Mudaerji,Su Mudaerji,Malcolm Gordon,9 of 18,0 of 6,50%,0%,9 of 18,0 of 6
Catch Weight Bout,Submission,2,2:29,3 Rnd (5-5-5),Jason Herzog,Rear Naked Choke,Nate Maness,Luke Sanders,Nate Maness,55 of 112,33 of 70,49%,47%,63 of 120,38 of 75
UFC Flyweight Title Bout,Submission,1,1:57,5 Rnd (5-5-5-5-5),Marc Goddard,Guillotine Choke From Bottom Guard,Deiveson Figueiredo,Deiveson Figueiredo,Alex Perez,5 of 8,6 of 14,62%,42%,5 of 8,6 of 14
UFC Women's Flyweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Sal D'amato46 - 49.Mike Bell46 - 49.Junichiro Kamijo46 - 49.,Valentina Shevchenko,Valentina Shevchenko,Jennifer Maia,62 of 119,36 of 88,52%,40%,249 of 317,94 of 152
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Dave Hagen27 - 30.Chris Lee28 - 29.Mike Bell28 - 29.,Tim Means,Mike Perry,Tim Means,64 of 161,128 of 192,39%,66%,69 of 166,143 of 207
Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Junichiro Kamijo27 - 30.Sal D'amato27 - 30.Derek Cleary27 - 30.,Katlyn Chookagian,Katlyn Chookagian,Cynthia Calvillo,69 of 230,60 of 197,30%,30%,69 of 230,60 of 197
Light Heavyweight Bout,KO/TKO,2,3:36,3 Rnd (5-5-5),Herb Dean,Punches to Head From Back Control,Paul Craig,Mauricio Rua,Paul Craig,10 of 28,29 of 57,35%,50%,25 of 46,54 of 88
Flyweight Bout,KO/TKO,1,4:59,3 Rnd (5-5-5),Marc Goddard,Punches to Head On Ground,Brandon Moreno,Brandon Moreno,Brandon Royval,16 of 34,17 of 52,47%,32%,53 of 73,24 of 62
Middleweight Bout,KO/TKO,2,0:18,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,Joaquin Buckley,Joaquin Buckley,Jordan Wright,43 of 80,18 of 47,53%,38%,59 of 96,36 of 66
Women's Flyweight Bout,KO/TKO,2,4:33,3 Rnd (5-5-5),Chris Tognoni,Punches to Head From Back Control,Antonina Shevchenko,Antonina Shevchenko,Ariane Lipski,39 of 57,15 of 26,68%,57%,94 of 128,25 of 36
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Tony Weeks27 - 30.Anthony Maness28 - 29.Derek Cleary28 - 29.,Nicolas Dalby,Daniel Rodriguez,Nicolas Dalby,83 of 199,50 of 147,41%,34%,105 of 222,58 of 155
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Dave Hagen27 - 30.Eric Colon27 - 30.Mike Bell27 - 30.,Alan Jouban,Alan Jouban,Jared Gooden,168 of 331,100 of 210,50%,47%,169 of 332,101 of 211
Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Tony Weeks27 - 30.Junichiro Kamijo27 - 30.Mike Bell26 - 30.,Kyle Daukaus,Kyle Daukaus,Dustin Stoltzfus,64 of 122,32 of 63,52%,50%,113 of 183,95 of 130
Welterweight Bout,KO/TKO,3,2:47,3 Rnd (5-5-5),Chris Tognoni,Punches to Head On Ground,Sasha Palatnikov,Louis Cosce,Sasha Palatnikov,99 of 206,125 of 237,48%,52%,115 of 224,160 of 275
Lightweight Bout,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Chris Lee48 - 47.Sal D'amato45 - 50.Derek Cleary45 - 50.,Rafael Dos Anjos,Paul Felder,Rafael Dos Anjos,98 of 190,92 of 162,51%,56%,134 of 226,155 of 231
Welterweight Bout,KO/TKO,1,0:30,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance,Khaos Williams,Abdul Razak Alhassan,Khaos Williams,2 of 2,5 of 10,100%,50%,2 of 2,5 of 10
Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Ron McCarthy26 - 30.Chris Lee27 - 29.Derek Cleary27 - 29.,Ashley Yoder,Ashley Yoder,Miranda Granger,26 of 42,33 of 51,61%,64%,151 of 184,87 of 107
Catch Weight Bout,KO/TKO,2,1:32,3 Rnd (5-5-5),Herb Dean,Punches to Head In Clinch,Sean Strickland,Brendan Allen,Sean Strickland,51 of 90,94 of 161,56%,58%,53 of 92,106 of 176
Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Chris Lee28 - 29.Sal D'amato28 - 29.Derek Cleary28 - 29.,Cory McKenna,Kay Hansen,Cory McKenna,67 of 110,57 of 137,60%,41%,87 of 131,156 of 246
Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Junichiro Kamijo27 - 30.Sal D'amato27 - 30.Mike Bell27 - 30.,Kanako Murata,Randa Markos,Kanako Murata,29 of 61,29 of 43,47%,67%,37 of 69,79 of 95
Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Dave Hagen27 - 30.Sal D'amato29 - 28.Mike Bell28 - 29.,Tony Gravely,Geraldo de Freitas,Tony Gravely,76 of 128,49 of 101,59%,48%,108 of 165,86 of 144
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Rick Winter27 - 30.Junichiro Kamijo27 - 30.Mike Bell27 - 30.,Alex Morono,Alex Morono,Rhys McKee,176 of 321,124 of 230,54%,53%,208 of 360,133 of 242
Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Rick Winter27 - 30.Dave Hagen27 - 30.Junichiro Kamijo28 - 29.,Don'Tale Mayes,Don'Tale Mayes,Roque Martinez,59 of 135,58 of 111,43%,52%,80 of 158,96 of 152
Light Heavyweight Bout,Submission,3,1:49,5 Rnd (5-5-5-5-5),Herb Dean,Rear Naked Choke,Glover Teixeira,Thiago Santos,Glover Teixeira,40 of 64,46 of 63,62%,73%,81 of 109,148 of 180
Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Eric Colon28 - 29.Chris Lee28 - 29.Ron McCarthy28 - 29.,Andrei Arlovski,Andrei Arlovski,Tanner Boser,34 of 82,68 of 119,41%,57%,34 of 82,68 of 119
Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Dave Hagen27 - 30.Chris Lee27 - 30.Ron McCarthy27 - 30.,Raoni Barcelos,Raoni Barcelos,Khalid Taha,120 of 207,49 of 202,57%,24%,129 of 219,68 of 222
Featherweight Bout,KO/TKO,1,3:51,3 Rnd (5-5-5),Herb Dean,Kick to Head At Distance,Giga Chikadze,Giga Chikadze,Jamey Simmons,8 of 16,2 of 4,50%,50%,8 of 16,4 of 6
Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell28 - 29.Derek Cleary28 - 29.Sal D'amato28 - 29.,Yan Xiaonan,Claudia Gadelha,Yan Xiaonan,36 of 96,74 of 170,37%,43%,84 of 149,133 of 234
Middleweight Bout,KO/TKO,3,1:26,3 Rnd (5-5-5),Mark Smith,Punches to Head At Distance,Trevin Giles,Trevin Giles,Bevon Lewis,38 of 59,26 of 75,64%,34%,51 of 73,60 of 113
Heavyweight Bout,Submission,1,4:48,3 Rnd (5-5-5),Herb Dean,Forearm Choke From Half Guard,Alexandr Romanov,Alexandr Romanov,Marcos Rogerio de Lima,6 of 7,18 of 29,85%,62%,10 of 12,27 of 39
Featherweight Bout,Submission,3,2:22,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke,Darren Elkins,Darren Elkins,Eduardo Garagorri,32 of 72,36 of 78,44%,46%,120 of 168,48 of 90
Welterweight Bout,KO/TKO,3,2:03,3 Rnd (5-5-5),Mark Smith,"Elbow to Head In Clinch
      Ear Injury",Max Griffin,Max Griffin,Ramiz Brahimaj,74 of 167,45 of 123,44%,36%,82 of 175,46 of 124
Bantamweight Bout,Submission,1,2:43,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke,Gustavo Lopez,Gustavo Lopez,Anthony Birchak,26 of 43,17 of 40,60%,42%,33 of 50,18 of 41
Middleweight Bout,KO/TKO,4,1:24,5 Rnd (5-5-5-5-5),Herb Dean,Punches to Head On Ground,Uriah Hall,Uriah Hall,Anderson Silva,60 of 111,53 of 110,54%,48%,61 of 112,57 of 114
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Chris Lee28 - 29.Dave Hagen27 - 30.Sal D'amato27 - 30.,Bryce Mitchell,Bryce Mitchell,Andre Fili,46 of 69,27 of 72,66%,37%,100 of 135,51 of 97
Heavyweight Bout,KO/TKO,2,1:12,3 Rnd (5-5-5),Herb Dean,Punches to Head On Ground,Greg Hardy,Maurice Greene,Greg Hardy,17 of 37,46 of 74,45%,62%,17 of 37,56 of 85
Middleweight Bout,Submission,1,2:39,3 Rnd (5-5-5),Mark Smith,"Injury  
      Verbal submission",Kevin Holland,Kevin Holland,Charlie Ontiveros,11 of 12,2 of 2,91%,100%,33 of 34,2 of 2
Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Dave Hagen28 - 29.Sal D'amato28 - 29.Derek Cleary28 - 29.,Thiago Moises,Bobby Green,Thiago Moises,85 of 177,42 of 119,48%,35%,94 of 187,43 of 120
Lightweight Bout,KO/TKO,1,1:46,3 Rnd (5-5-5),Mark Smith,Punches to Head At Distance,Alexander Hernandez,Chris Gruetzemacher,Alexander Hernandez,8 of 27,29 of 52,29%,55%,8 of 27,29 of 52
Bantamweight Bout,KO/TKO,1,2:46,3 Rnd (5-5-5),Herb Dean,Kick to Head At Distance,Adrian Yanez,Adrian Yanez,Victor Rodriguez,17 of 34,6 of 13,50%,46%,18 of 35,9 of 16
Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Sal D'amato27 - 30.Derek Cleary27 - 30.Adalaide Byrd27 - 30.,Sean Strickland,Sean Strickland,Jack Marshman,106 of 227,48 of 252,46%,19%,106 of 227,48 of 252
Welterweight Bout,Submission,2,2:09,3 Rnd (5-5-5),Mark Smith,Arm Triangle From Mount,Jason Witt,Cole Williams,Jason Witt,1 of 5,20 of 31,20%,64%,23 of 27,50 of 70
Light Heavyweight Bout,KO/TKO,1,2:38,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance,Dustin Jacoby,Dustin Jacoby,Justin Ledet,22 of 38,10 of 31,57%,32%,22 of 38,10 of 31
Bantamweight Bout,KO/TKO,3,2:51,3 Rnd (5-5-5),Chris Tognoni,Punch to Head In Clinch,Miles Johns,Miles Johns,Kevin Natividad,48 of 105,33 of 137,45%,24%,56 of 114,38 of 142
UFC Lightweight Title Bout,Submission,2,1:34,5 Rnd (5-5-5-5-5),Jason Herzog,"Triangle Choke From Bottom Guard
      Jumped from mount to lock up triangle in bottom guard",Khabib Nurmagomedov,Khabib Nurmagomedov,Justin Gaethje,26 of 80,29 of 45,32%,64%,26 of 80,29 of 46
Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Anders Ohlsson,Derek Cleary28 - 29.Sal D'amato28 - 29.David Lethaby28 - 29.,Robert Whittaker,Robert Whittaker,Jared Cannonier,69 of 151,53 of 89,45%,59%,75 of 158,58 of 94
Heavyweight Bout,KO/TKO,2,1:15,3 Rnd (5-5-5),Lukasz Bosacki,"Kick to Body At Distance
      Front Kick",Alexander Volkov,Alexander Volkov,Walt Harris,45 of 73,16 of 58,61%,27%,45 of 73,16 of 58
Middleweight Bout,KO/TKO,1,0:18,3 Rnd (5-5-5),Jason Herzog,Punches to Head At Distance,Phil Hawes,Jacob Malkoun,Phil Hawes,0 of 2,7 of 11,0%,63%,0 of 2,7 of 11
Women's Flyweight Bout,Submission,2,3:31,3 Rnd (5-5-5),Lukasz Bosacki,Rear Naked Choke,Lauren Murphy,Lauren Murphy,Liliya Shakirova,22 of 85,23 of 75,25%,30%,32 of 96,27 of 80
Light Heavyweight Bout,KO/TKO,1,4:19,3 Rnd (5-5-5),Anders Ohlsson,Punch to Head At Distance,Magomed Ankalaev,Magomed Ankalaev,Ion Cutelaba,21 of 41,11 of 36,51%,30%,21 of 41,11 of 36
Heavyweight Bout,KO/TKO,1,4:59,3 Rnd (5-5-5),Jason Herzog,Punches to Head At Distance,Tai Tuivasa,Stefan Struve,Tai Tuivasa,13 of 19,27 of 42,68%,64%,13 of 19,48 of 63
Catch Weight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Anders Ohlsson,Ben Cartlidge28 - 29.Derek Cleary28 - 29.David Lethaby27 - 30.,Casey Kenney,Nathaniel Wood,Casey Kenney,136 of 321,123 of 247,42%,49%,138 of 325,125 of 249
Welterweight Bout,Submission,1,4:40,3 Rnd (5-5-5),Lukasz Bosacki,Guillotine Choke After Drop to Guard,Shavkat Rakhmonov,Alex Oliveira,Shavkat Rakhmonov,9 of 18,13 of 25,50%,52%,16 of 26,32 of 44
Light Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Anders Ohlsson,Darryl Ransom28 - 29.David Lethaby29 - 28.Ben Cartlidge28 - 28.,draw,Da-Un Jung,Sam Alvey,56 of 126,59 of 166,44%,35%,61 of 133,69 of 177
Women's Flyweight Bout,TKO - Doctor's Stoppage,1,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Cut,Miranda Maverick,Liana Jojua,Miranda Maverick,30 of 80,49 of 95,37%,51%,30 of 80,49 of 95
Lightweight Bout,Submission,1,3:00,3 Rnd (5-5-5),Jason Herzog,Armbar From Bottom Guard,Joel Alvarez,Joel Alvarez,Alexander Yakovlev,4 of 6,1 of 1,66%,100%,10 of 13,15 of 16
Featherweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Lukasz Bosacki,Ben Cartlidge45 - 50.David Lethaby45 - 50.Clemens Werner45 - 50.,Brian Ortega,Brian Ortega,Chan Sung Jung,127 of 212,62 of 163,59%,38%,129 of 214,64 of 166
Women's Flyweight Bout,KO/TKO,1,4:55,3 Rnd (5-5-5),Lukasz Bosacki,Punch to Body At Distance,Jessica Andrade,Katlyn Chookagian,Jessica Andrade,19 of 53,28 of 43,35%,65%,27 of 61,62 of 79
Light Heavyweight Bout,KO/TKO,1,2:01,3 Rnd (5-5-5),Anders Ohlsson,Punches to Head At Distance,Jimmy Crute,Jimmy Crute,Modestas Bukauskas,17 of 24,7 of 17,70%,41%,18 of 25,7 of 17
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Ben Cartlidge27 - 30.Darryl Ransom27 - 30.Clemens Werner27 - 30.,James Krause,Claudio Silva,James Krause,64 of 214,94 of 159,29%,59%,66 of 216,96 of 162
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Anders Ohlsson,Ben Cartlidge27 - 30.Darryl Ransom27 - 30.Victor Wolf27 - 30.,Jonathan Martinez,Thomas Almeida,Jonathan Martinez,64 of 171,73 of 205,37%,35%,64 of 171,73 of 205
Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Darryl Ransom28 - 29.David Lethaby29 - 28.Victor Wolf28 - 29.,Guram Kutateladze,Mateusz Gamrot,Guram Kutateladze,52 of 126,37 of 86,41%,43%,69 of 151,43 of 93
Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Anders Ohlsson,Victor Wolf28 - 29.Clemens Werner27 - 29.Ben Cartlidge27 - 29.,Gillian Robertson,Gillian Robertson,Poliana Botelho,57 of 98,22 of 43,58%,51%,104 of 161,39 of 61
Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Ben Cartlidge25 - 30.David Lethaby25 - 30.Victor Wolf25 - 30.,Junyong Park,Junyong Park,John Phillips,10 of 21,5 of 14,47%,35%,260 of 350,13 of 25
Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Ben Cartlidge28 - 29.Darryl Ransom28 - 29.Clemens Werner28 - 29.,Fares Ziam,Jamie Mullarkey,Fares Ziam,20 of 72,47 of 89,27%,52%,29 of 84,54 of 98
Light Heavyweight Bout,KO/TKO,2,4:58,3 Rnd (5-5-5),Anders Ohlsson,Punches to Head At Distance,Maxim Grishin,Gadzhimurad Antigulov,Maxim Grishin,12 of 23,34 of 76,52%,44%,31 of 44,66 of 126
Bantamweight Bout,KO/TKO,1,0:51,3 Rnd (5-5-5),Lukasz Bosacki,Punches to Head On Ground,Said Nurmagomedov,Said Nurmagomedov,Mark Striegl,18 of 24,3 of 7,75%,42%,18 of 24,3 of 7
Bantamweight Bout,KO/TKO,2,1:03,5 Rnd (5-5-5-5-5),Marc Goddard,"Kick to Head At Distance
      Wheel kick",Cory Sandhagen,Marlon Moraes,Cory Sandhagen,14 of 50,38 of 88,28%,43%,14 of 50,38 of 88
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin Sataki,Darryl Ransom26 - 30.Vito Paolillo27 - 30.Victor Wolf28 - 29.,Edson Barboza,Edson Barboza,Makwan Amirkhani,32 of 74,11 of 39,43%,28%,34 of 77,25 of 59
Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Mike Bell27 - 29.Anders Ohlsson27 - 29.Victor Wolf27 - 29.,Marcin Tybura,Ben Rothwell,Marcin Tybura,89 of 276,94 of 183,32%,51%,95 of 287,155 of 274
Middleweight Bout,KO/TKO,1,3:22,3 Rnd (5-5-5),Kevin Sataki,Punch to Head At Distance,Dricus Du Plessis,Markus Perez,Dricus Du Plessis,14 of 43,26 of 58,32%,44%,14 of 43,26 of 58
Heavyweight Bout,KO/TKO,1,1:35,3 Rnd (5-5-5),Lukasz Bosacki,Punches to Head From Mount,Tom Aspinall,Tom Aspinall,Alan Baudot,16 of 25,3 of 12,64%,25%,17 of 26,5 of 14
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin Sataki,Mike Bell28 - 29.Anders Ohlsson28 - 29.Vito Paolillo28 - 29.,Ilia Topuria,Youssef Zalal,Ilia Topuria,17 of 53,13 of 33,32%,39%,40 of 85,30 of 62
Middleweight Bout,KO/TKO,1,1:42,3 Rnd (5-5-5),Lukasz Bosacki,Punch to Head At Distance,Tom Breese,Tom Breese,KB Bhullar,17 of 27,2 of 15,62%,13%,18 of 28,2 of 16
Heavyweight Bout,KO/TKO,1,0:45,3 Rnd (5-5-5),Marc Goddard,Punches to Head At Distance,Chris Daukaus,Chris Daukaus,Rodrigo Nascimento,13 of 21,1 of 4,61%,25%,13 of 21,1 of 4
Middleweight Bout,KO/TKO,2,2:03,3 Rnd (5-5-5),Kevin Sataki,Spinning Back Kick Head,Joaquin Buckley,Impa Kasanganay,Joaquin Buckley,28 of 79,29 of 94,35%,30%,31 of 85,29 of 95
Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Darryl Ransom27 - 30.Anders Ohlsson28 - 29.Clemens Werner28 - 29.,Tony Kelley,Ali AlQaisi,Tony Kelley,29 of 67,23 of 62,43%,37%,58 of 103,61 of 109
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Mike Bell27 - 30.Vito Paolillo27 - 30.Victor Wolf27 - 30.,Giga Chikadze,Giga Chikadze,Omar Morales,65 of 157,34 of 128,41%,26%,69 of 163,35 of 130
