Fight Type,Method:,Round:,Time:,Time format:,Referee:,Details,Winner,r_figher,b_figher,r_figher_sig_str,b_figher_sig_str,r_figher_sig_str %,b_figher_sig_str %,r_figher_total_str,b_figher_total_str
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell28 - 29.Adalaide Byrd28 - 29.Junichiro Kamijo28 - 29.,Felipe Colares,Luke Sanders,Felipe Colares,118 of 211,78 of 131,55%,59%,131 of 225,104 of 165
UFC Welterweight Title Bout,KO/TKO,2,1:02,5 Rnd (5-5-5-5-5),Herb Dean,Punch to Head At Distance,Kamaru Usman,Kamaru Usman,Jorge Masvidal,21 of 40,31 of 52,52%,59%,32 of 54,56 of 79
UFC Women's Strawweight Title Bout,KO/TKO,1,1:18,5 Rnd (5-5-5-5-5),Keith Peterson,Kick to Head At Distance,Rose Namajunas,Zhang Weili,Rose Namajunas,7 of 11,5 of 10,63%,50%,7 of 11,5 of 10
UFC Women's Flyweight Title Bout,KO/TKO,2,3:19,5 Rnd (5-5-5-5-5),Dan Miragliotta,Elbows to Head From Crucifix,Valentina Shevchenko,Valentina Shevchenko,Jessica Andrade,32 of 39,10 of 15,82%,66%,90 of 97,47 of 55
Middleweight Bout,KO/TKO,1,0:17,3 Rnd (5-5-5),Herb Dean,"to    
      Leg Injury",Uriah Hall,Uriah Hall,Chris Weidman,0 of 0,1 of 2,---,50%,0 of 0,1 of 2
Light Heavyweight Bout,TKO - Doctor's Stoppage,1,5:00,3 Rnd (5-5-5),Keith Peterson,Leg Injury,Anthony Smith,Anthony Smith,Jimmy Crute,26 of 39,18 of 35,66%,51%,27 of 40,34 of 57
Welterweight Bout,Submission,1,2:50,3 Rnd (5-5-5),Dan Miragliotta,"Rear Naked Choke
      One-arm RNC",Randy Brown,Alex Oliveira,Randy Brown,7 of 12,16 of 32,58%,50%,9 of 14,23 of 39
Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),James Folsom,Howard Reichbach28 - 29.Derek Cleary29 - 28.Chris Lee28 - 29.,Dwight Grant,Dwight Grant,Stefan Sekulic,49 of 156,33 of 52,31%,63%,52 of 160,39 of 59
Middleweight Bout,Submission,1,4:55,3 Rnd (5-5-5),Dan Miragliotta,Ankle Lock On Ground,Brendan Allen,Karl Roberson,Brendan Allen,6 of 14,9 of 16,42%,56%,15 of 24,15 of 22
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Josh Rutgers,Chris Lee27 - 30.Troy Wincapaw28 - 29.Eric Colon28 - 29.,Pat Sabatini,Pat Sabatini,Tristan Connelly,26 of 45,19 of 50,57%,38%,73 of 98,87 of 125
